[2023-07-04 21:22:10] [DEBUG   ] discord.client: Dispatching event message
[2023-07-04 21:22:10] [DEBUG   ] discord.http: POST https://discord.com/api/v10/channels/1125051071623073845/messages with {"embeds":[{"color":16776960,"type":"rich","description":"\n1. Space (exaliffeed)\n2. None (\u0412\u0435\u0434\u0443\u0449\u0438\u0439)","title":"\u041e\u043d\u043b\u0430\u0439\u043d"}],"content":null,"components":[],"tts":false} has returned 200
[2023-07-04 21:22:10] [DEBUG   ] discord.http: POST /channels/{channel_id}/messages has found its initial rate limit bucket hash (1d3c67957bcdccc6709861c232df8529).
[2023-07-04 21:22:10] [DEBUG   ] discord.http: POST https://discord.com/api/v10/channels/1125051071623073845/messages has received {'id': '1125838986754146324', 'type': 0, 'content': '', 'channel_id': '1125051071623073845', 'author': {'id': '1125050254396498030', 'username': 'Ведущий', 'global_name': None, 'avatar': None, 'discriminator': '2544', 'public_flags': 0, 'bot': True, 'avatar_decoration': None}, 'attachments': [], 'embeds': [{'type': 'rich', 'title': 'Онлайн', 'description': '1. Space (exaliffeed)\n2. None (Ведущий)', 'color': 16776960}], 'mentions': [], 'mention_roles': [], 'pinned': False, 'mention_everyone': False, 'tts': False, 'timestamp': '2023-07-04T17:22:11.519000+00:00', 'edited_timestamp': None, 'flags': 0, 'components': [], 'referenced_message': None}
[2023-07-04 21:22:10] [DEBUG   ] discord.client: Dispatching event command_completion
[2023-07-04 21:22:41] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 4.
[2023-07-04 21:22:41] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2023-07-04 21:23:23] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 4.
[2023-07-04 21:23:23] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2023-07-04 21:24:04] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 4.
[2023-07-04 21:24:04] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2023-07-04 21:24:45] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 4.
[2023-07-04 21:24:45] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2023-07-04 21:25:26] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 4.
[2023-07-04 21:25:27] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2023-07-04 21:26:08] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 4.
[2023-07-04 21:26:08] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2023-07-04 21:26:49] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 4.
[2023-07-04 21:26:49] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2023-07-04 21:27:30] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 4.
[2023-07-04 21:27:30] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2023-07-04 21:28:11] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 4.
[2023-07-04 21:28:12] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2023-07-04 21:28:53] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 4.
[2023-07-04 21:28:53] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2023-07-04 21:29:34] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 4.
[2023-07-04 21:29:34] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2023-07-04 21:30:15] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 4.
[2023-07-04 21:30:15] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2023-07-04 21:30:56] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 4.
[2023-07-04 21:30:57] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2023-07-04 21:31:38] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 4.
[2023-07-04 21:31:38] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2023-07-04 21:32:19] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 4.
[2023-07-04 21:32:19] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2023-07-04 21:33:00] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 4.
[2023-07-04 21:33:00] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2023-07-04 21:33:41] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 4.
[2023-07-04 21:33:42] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2023-07-04 21:34:23] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 4.
[2023-07-04 21:34:23] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2023-07-04 21:35:04] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 4.
[2023-07-04 21:35:04] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2023-07-04 21:35:45] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 4.
[2023-07-04 21:35:45] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2023-07-04 21:36:26] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 4.
[2023-07-04 21:36:27] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2023-07-04 21:37:08] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 4.
[2023-07-04 21:37:08] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2023-07-04 21:37:49] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 4.
[2023-07-04 21:37:49] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2023-07-04 21:38:30] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 4.
[2023-07-04 21:38:30] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2023-07-04 21:39:11] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 4.
[2023-07-04 21:39:12] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2023-07-04 21:39:53] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 4.
[2023-07-04 21:39:53] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2023-07-04 21:40:34] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 4.
[2023-07-04 21:40:34] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2023-07-04 21:41:15] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 4.
[2023-07-04 21:41:15] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2023-07-04 21:41:57] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 4.
[2023-07-04 21:41:57] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2023-07-04 21:42:38] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 4.
[2023-07-04 21:42:38] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2023-07-04 21:43:19] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 4.
[2023-07-04 21:43:19] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2023-07-04 21:44:00] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 4.
[2023-07-04 21:44:00] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2023-07-04 21:44:42] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 4.
[2023-07-04 21:44:42] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2023-07-04 21:45:23] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 4.
[2023-07-04 21:45:23] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2023-07-04 21:46:04] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 4.
[2023-07-04 21:46:04] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
